⦂,ff0000,"3.Aug.22.Wed 2:05:21 AM",122.27.36.85
⎮,ff8c00,"3.Aug.22.Wed 8:56:05 AM",122.27.36.85
∠,ffb6c1,"3.Aug.22.Wed 8:57:28 AM",122.27.36.85
◡,fff000,"3.Aug.22.Wed 8:57:44 AM",122.27.36.85
⟡,0000cd,"3.Aug.22.Wed 8:57:59 AM",122.27.36.85
¶,008080,"3.Aug.22.Wed 8:58:23 AM",122.27.36.85
⦂,fffafa,"3.Aug.22.Wed 8:58:53 AM",122.27.36.85
⦂,fffafa,"3.Aug.22.Wed 1:39:54 PM",122.27.36.85
∰,0000cd,"3.Aug.22.Wed 8:20:23 PM",106.128.120.79
⌇,f0ffff,"3.Aug.22.Wed 8:21:21 PM",106.128.120.79
∰,ba55d3,"3.Aug.22.Wed 11:58:51 PM",122.27.36.85
