⁔,0000cd,"23.Jul.22.Sat 8:46:18 AM",122.27.36.85
∠,ffb6c1,"23.Jul.22.Sat 8:46:32 AM",122.27.36.85
⍥,b0c4de,"23.Jul.22.Sat 8:48:28 AM",122.27.36.85
⁔,0000cd,"23.Jul.22.Sat 8:53:38 AM",122.27.36.85
⋰,008080,"23.Jul.22.Sat 8:54:13 AM",122.27.36.85
♯,ff0000,"23.Jul.22.Sat 12:43:24 PM",122.27.36.85
▱,0000cd,"23.Jul.22.Sat 12:45:27 PM",122.27.36.85
∝,ba55d3,"23.Jul.22.Sat 12:49:37 PM",122.27.36.85
∰,90ee90,"23.Jul.22.Sat 12:53:00 PM",122.27.36.85
♯,556b2f,"23.Jul.22.Sat 12:53:29 PM",122.27.36.85
▱,b0c4de,"23.Jul.22.Sat 2:06:50 PM",122.27.36.85
¶,ffb6c1,"23.Jul.22.Sat 2:19:15 PM",122.27.36.85
❞,b0c4de,"23.Jul.22.Sat 2:25:32 PM",126.193.78.90
⟡,ffb6c1,"23.Jul.22.Sat 2:29:47 PM",122.27.36.85
∰,fff000,"23.Jul.22.Sat 4:12:28 PM",122.27.36.85
⍥,fff000,"23.Jul.22.Sat 4:12:30 PM",122.27.36.85
⍥,fff000,"23.Jul.22.Sat 4:13:35 PM",122.27.36.85
⦂,800000,"23.Jul.22.Sat 7:58:18 PM",122.27.36.85
